SENSOR,SENID,초기RAW,초기데이터,GF1,GF2,OFFSET,단위보정,온도보정,EL
WL1,OP0001,0,1.6996,-0.095353,-0.00000029492,916.09,0.102,0,186.28
WL2,OP0002,0,2.3301,-0.092629,-0.00000044096,935.08,0.102,0,183
